main_objectid,objectname,sample_typename,created_date,updated_date,main_objectfilepath,linked_objectid,linked_objectfilepath,associated_typename
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13276,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13277,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13278,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13279,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13280,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13281,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13282,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13283,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13284,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13285,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13286,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13287,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13288,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13289,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13290,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13291,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13292,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13293,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13294,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13295,,Volume Composition
