;x;y;Cu;Pd;Ag;Pt;Au
Spektrum 1 {56};13.32;-31.969;5.8;6.8;70.6;6.3;10.5
Spektrum 1 {57};17.819;-31.969;7.2;6.0;69.9;6.3;10.6
Spektrum 1 {58};22.32;-31.969;8.6;7.2;68.2;6.0;10.0
Spektrum 1 {59};26.819;-31.969;7.2;9.5;67.9;5.1;10.4
Spektrum 1 {60};31.32;-31.969;7.9;9.1;67.8;5.6;9.6
Spektrum 1 {66};-36.169;-27.464;15.6;2.3;57.8;12.7;11.7
Spektrum 1 {67};-31.672;-27.464;12.1;2.1;62.6;12.8;10.4
Spektrum 1 {68};-27.171;-27.464;15.3;3.8;59.1;10.9;10.9
Spektrum 1 {69};-22.669;-27.464;14.9;2.9;61.0;10.5;10.8
Spektrum 1 {70};-18.168;-27.464;11.8;4.9;63.9;9.8;9.5
Spektrum 1 {71};-13.669;-27.464;11.7;6.0;63.7;8.9;9.8
Spektrum 1 {72};-9.17;-27.464;10.1;5.8;65.1;8.9;10.1
Spektrum 1 {73};-4.669;-27.464;10.4;4.1;67.6;7.5;10.4
Spektrum 1 {74};-0.169;-27.464;12.2;5.7;65.4;6.7;10.0
Spektrum 1 {75};4.321;-27.464;10.4;5.9;67.1;6.9;9.7
Spektrum 1 {76};8.819;-27.464;9.9;6.6;67.1;6.8;9.5
Spektrum 1 {77};13.319;-27.464;9.1;8.5;67.2;5.7;9.6
Spektrum 1 {78};17.82;-27.464;8.6;6.8;69.1;5.7;9.7
Spektrum 1 {79};22.32;-27.464;7.8;7.1;70.2;5.7;9.2
Spektrum 1 {80};26.82;-27.464;6.4;7.6;70.9;5.6;9.6
Spektrum 1 {81};31.321;-27.464;8.6;8.6;69.3;4.8;8.8
Spektrum 1 {82};35.818;-27.464;8.0;9.5;69.5;4.8;8.2
Spektrum 1 {86};-40.67;-22.967;14.5;4.7;57.4;13.6;9.8
Spektrum 1 {87};-36.17;-22.967;14.6;3.6;58.4;12.5;10.9
Spektrum 1 {88};-31.669;-22.967;14.0;3.5;60.6;11.4;10.5
Spektrum 1 {89};-27.17;-22.967;14.8;4.2;61.1;10.1;9.8
Spektrum 1 {90};-22.668;-22.967;12.8;5.2;63.1;10.2;8.7
Spektrum 1 {91};-18.168;-22.967;11.9;5.3;64.0;9.4;9.4
Spektrum 1 {92};-13.67;-22.967;8.9;4.6;67.6;8.9;10.1
Spektrum 1 {93};-9.169;-22.967;9.2;5.6;66.9;9.0;9.2
Spektrum 1 {94};-4.671;-22.967;10.4;4.9;67.3;7.3;10.1
Spektrum 1 {95};-0.171;-22.967;12.9;6.0;67.0;6.2;7.9
Spektrum 1 {96};4.32;-22.967;10.8;4.4;69.7;7.1;8.0
Spektrum 1 {97};8.819;-22.967;8.0;5.2;71.3;6.5;8.9
Spektrum 1 {98};13.318;-22.967;11.7;5.9;68.0;5.9;8.5
Spektrum 1 {99};17.82;-22.967;9.3;6.4;71.4;5.3;7.5
Spektrum 1 {100};22.32;-22.967;8.7;6.0;71.7;5.2;8.3
Spektrum 1 {101};26.82;-22.967;7.8;6.5;72.3;5.4;7.8
Spektrum 1 {102};31.318;-22.967;7.6;6.4;73.3;5.1;7.6
Spektrum 1 {103};35.819;-22.967;7.3;6.5;73.8;4.1;8.3
Spektrum 1 {104};40.318;-22.967;7.4;8.4;71.9;4.8;7.6
Spektrum 1 {107};-40.671;-18.467;19.2;1.9;58.1;12.5;8.3
Spektrum 1 {108};-36.169;-18.467;16.4;2.9;60.8;11.9;8.0
Spektrum 1 {109};-31.67;-18.467;16.4;2.9;61.2;11.2;8.3
