;x;y;Ru;Pd
Spektrum 1 {232};-45.167;8.523;91.7;8.3
Spektrum 1 {233};-40.672;8.523;90.3;9.7
Spektrum 1 {234};-36.171;8.523;89.9;10.1
Spektrum 1 {235};-31.67;8.523;89.3;10.7
Spektrum 1 {236};-27.171;8.523;87.3;12.7
Spektrum 1 {237};-22.67;8.523;85.6;14.4
Spektrum 1 {238};-18.169;8.523;83.8;16.2
Spektrum 1 {239};-13.669;8.523;81.4;18.6
Spektrum 1 {240};-9.171;8.523;79.5;20.5
Spektrum 1 {241};-4.67;8.523;75.3;24.7
Spektrum 1 {242};-0.17;8.523;72.6;27.4
Spektrum 1 {243};4.321;8.523;70.1;29.9
Spektrum 1 {244};8.819;8.523;67.1;32.9
Spektrum 1 {245};13.32;8.523;62.9;37.1
Spektrum 1 {246};17.819;8.523;58.2;41.8
Spektrum 1 {247};22.32;8.523;55.8;44.2
Spektrum 1 {248};26.818;8.523;51.2;48.8
Spektrum 1 {249};31.32;8.523;47.1;52.9
Spektrum 1 {250};35.819;8.523;43.5;56.5
Spektrum 1 {251};40.32;8.523;39.3;60.7
Spektrum 1 {252};44.82;8.523;36.9;63.1
Spektrum 1 {253};-45.168;13.021;92.1;7.9
Spektrum 1 {254};-40.671;13.021;91.2;8.8
Spektrum 1 {255};-36.172;13.021;89.8;10.2
Spektrum 1 {256};-31.672;13.021;89.1;10.9
Spektrum 1 {257};-27.17;13.021;87.7;12.3
Spektrum 1 {258};-22.67;13.021;86.7;13.3
Spektrum 1 {259};-18.168;13.021;84.6;15.4
Spektrum 1 {260};-13.67;13.021;81.6;18.4
Spektrum 1 {261};-9.169;13.021;79.5;20.5
Spektrum 1 {262};-4.67;13.021;77.7;22.3
Spektrum 1 {263};-0.171;13.021;75.2;24.8
Spektrum 1 {264};4.318;13.021;72.2;27.8
Spektrum 1 {265};8.818;13.021;67.4;32.6
Spektrum 1 {266};13.318;13.021;64.6;35.4
Spektrum 1 {267};17.818;13.021;60.2;39.8
Spektrum 1 {268};22.32;13.021;56.2;43.8
Spektrum 1 {269};26.82;13.021;52.2;47.8
Spektrum 1 {270};31.32;13.021;48.5;51.5
Spektrum 1 {271};35.819;13.021;44.4;55.6
Spektrum 1 {272};40.318;13.021;41.4;58.6
Spektrum 1 {273};44.819;13.021;39.3;60.7
Spektrum 1 {275};-40.672;17.523;92.5;7.5
Spektrum 1 {276};-36.171;17.523;90.9;9.1
Spektrum 1 {277};-31.67;17.523;89.3;10.7
Spektrum 1 {278};-27.171;17.523;88.4;11.6
Spektrum 1 {279};-22.67;17.523;86.0;14.0
Spektrum 1 {280};-18.169;17.523;84.4;15.6
Spektrum 1 {281};-13.67;17.523;83.3;16.7
Spektrum 1 {282};-9.17;17.523;81.7;18.3
Spektrum 1 {283};-4.671;17.523;78.4;21.6
Spektrum 1 {284};-0.169;17.523;75.7;24.3
Spektrum 1 {285};4.318;17.523;72.8;27.2
Spektrum 1 {286};8.819;17.523;70.0;30.0
Spektrum 1 {287};13.32;17.523;66.8;33.2
Spektrum 1 {288};17.819;17.523;62.2;37.8
Spektrum 1 {289};22.32;17.523;58.2;41.8
Spektrum 1 {290};26.819;17.523;54.2;45.8
Spektrum 1 {291};31.318;17.523;50.6;49.4
Spektrum 1 {292};35.818;17.523;47.3;52.7
Spektrum 1 {293};40.319;17.523;42.7;57.3
Spektrum 1 {296};-40.67;22.025;92.1;7.9
Spektrum 1 {297};-36.17;22.025;90.8;9.2
Spektrum 1 {298};-31.669;22.025;90.4;9.6
Spektrum 1 {299};-27.169;22.025;88.6;11.4
Spektrum 1 {300};-22.669;22.025;87.7;12.3
Spektrum 1 {301};-18.169;22.025;86.2;13.8
Spektrum 1 {302};-13.669;22.025;84.9;15.1
Spektrum 1 {303};-9.17;22.025;81.6;18.4
Spektrum 1 {304};-4.671;22.025;79.8;20.2
Spektrum 1 {305};-0.17;22.025;77.0;23.0
Spektrum 1 {306};4.318;22.025;73.6;26.4
Spektrum 1 {307};8.817;22.025;71.3;28.7
Spektrum 1 {308};13.317;22.025;66.3;33.7
Spektrum 1 {309};17.819;22.025;63.4;36.6
Spektrum 1 {310};22.317;22.025;58.9;41.1
Spektrum 1 {311};26.818;22.025;56.2;43.8
Spektrum 1 {312};31.318;22.025;52.3;47.7
Spektrum 1 {313};35.817;22.025;48.0;52.0
Spektrum 1 {314};40.318;22.025;44.5;55.5
Spektrum 1 {318};-36.17;26.525;91.9;8.1
Spektrum 1 {319};-31.67;26.525;90.7;9.3
Spektrum 1 {320};-27.172;26.525;90.4;9.6
Spektrum 1 {321};-22.671;26.525;88.4;11.6
Spektrum 1 {322};-18.171;26.525;87.4;12.6
Spektrum 1 {323};-13.669;26.525;85.0;15.0
Spektrum 1 {324};-9.169;26.525;82.9;17.1
Spektrum 1 {325};-4.67;26.525;80.4;19.6
Spektrum 1 {326};-0.17;26.525;77.4;22.6
Spektrum 1 {327};4.317;26.525;75.5;24.5
Spektrum 1 {328};8.818;26.525;72.1;27.9
Spektrum 1 {329};13.32;26.525;68.9;31.1
Spektrum 1 {330};17.82;26.525;65.2;34.8
Spektrum 1 {331};22.32;26.525;62.2;37.8
Spektrum 1 {332};26.818;26.525;57.5;42.5
Spektrum 1 {333};31.32;26.525;53.3;46.7
Spektrum 1 {334};35.82;26.525;49.6;50.4
Spektrum 1 {340};-31.671;31.026;90.9;9.1
Spektrum 1 {341};-27.171;31.026;89.8;10.2
Spektrum 1 {342};-22.669;31.026;87.8;12.2
Spektrum 1 {343};-18.17;31.026;86.5;13.5
Spektrum 1 {344};-13.67;31.026;85.6;14.4
Spektrum 1 {345};-9.169;31.026;83.1;16.9
Spektrum 1 {346};-4.669;31.026;80.5;19.5
Spektrum 1 {347};-0.171;31.026;78.6;21.4
Spektrum 1 {348};4.318;31.026;75.9;24.1
Spektrum 1 {349};8.818;31.026;72.4;27.6
Spektrum 1 {350};13.32;31.026;69.8;30.2
Spektrum 1 {351};17.82;31.026;64.9;35.1
Spektrum 1 {352};22.32;31.026;62.9;37.1
Spektrum 1 {353};26.818;31.026;58.3;41.7
Spektrum 1 {354};31.32;31.026;54.9;45.1
Spektrum 1 {362};-27.169;35.525;89.7;10.3
Spektrum 1 {363};-22.67;35.525;88.6;11.4
Spektrum 1 {364};-18.17;35.525;87.8;12.2
Spektrum 1 {365};-13.671;35.525;85.9;14.1
Spektrum 1 {366};-9.17;35.525;84.0;16.0
Spektrum 1 {367};-4.669;35.525;82.4;17.6
Spektrum 1 {368};-0.169;35.525;78.3;21.7
Spektrum 1 {369};4.317;35.525;76.2;23.8
Spektrum 1 {370};8.819;35.525;73.3;26.7
Spektrum 1 {371};13.32;35.525;71.2;28.8
Spektrum 1 {372};17.818;35.525;67.8;32.2
Spektrum 1 {373};22.318;35.525;64.0;36.0
Spektrum 1 {374};26.82;35.525;60.4;39.6
Spektrum 1 {384};-22.67;40.021;90.1;9.9
Spektrum 1 {385};-18.169;40.021;88.3;11.7
Spektrum 1 {386};-13.67;40.021;86.7;13.3
Spektrum 1 {387};-9.171;40.021;85.1;14.9
Spektrum 1 {388};-4.671;40.021;83.3;16.7
Spektrum 1 {389};-0.172;40.021;82.0;18.0
Spektrum 1 {390};4.318;40.021;78.0;22.0
Spektrum 1 {391};8.817;40.021;75.7;24.3
Spektrum 1 {392};13.319;40.021;72.0;28.0
Spektrum 1 {393};17.817;40.021;69.5;30.5
Spektrum 1 {394};22.317;40.021;64.8;35.2
Spektrum 1 {407};-13.67;44.521;87.0;13.0
Spektrum 1 {408};-9.17;44.521;85.3;14.7
Spektrum 1 {409};-4.67;44.521;82.5;17.5
Spektrum 1 {410};-0.171;44.521;81.0;19.0
Spektrum 1 {411};4.319;44.521;80.1;19.9
Spektrum 1 {412};8.818;44.521;76.4;23.6
Spektrum 1 {413};13.319;44.521;73.0;27.0
