;x;y;Ru;Pd;Ag;Pt;Au;Total
Spektrum 1 {133};-18.168;-13.964;3.5;27.5;3.1;3.5;12.5;50.0
Spektrum 1 {134};-13.669;-13.964;3.7;28.9;2.7;3.2;11.5;50.0
Spektrum 1 {135};-9.169;-13.964;3.7;30.5;2.5;2.8;10.5;50.0
Spektrum 1 {136};-4.668;-13.964;3.6;31.8;2.3;2.7;9.6;50.0
Spektrum 1 {137};-0.168;-13.964;3.6;32.8;1.9;2.7;9.0;50.0
Spektrum 1 {138};4.319;-13.964;3.6;34.2;1.9;2.3;8.0;50.0
Spektrum 1 {139};8.819;-13.964;3.8;35.4;1.7;2.2;7.0;50.0
Spektrum 1 {140};13.319;-13.964;3.6;36.5;1.9;1.9;6.1;50.0
Spektrum 1 {141};17.819;-13.964;3.7;37.7;1.2;1.9;5.5;50.0
Spektrum 1 {142};22.32;-13.964;3.9;38.3;0.8;1.9;5.2;50.0
Spektrum 1 {143};26.819;-13.964;3.8;39.1;1.0;1.7;4.4;50.0
Spektrum 1 {144};31.32;-13.964;3.7;39.9;1.0;1.5;3.9;50.0
Spektrum 1 {145};35.819;-13.964;3.7;41.0;0.8;1.3;3.2;50.0
Spektrum 1 {146};40.319;-13.964;3.8;41.4;0.7;1.3;2.9;50.0
Spektrum 1 {147};44.819;-13.964;4.1;59.7;0.3;-2.4;-11.8;50.0
Spektrum 1 {148};-45.169;-9.466;3.1;19.1;6.2;4.4;17.3;50.0
Spektrum 1 {149};-40.67;-9.466;2.9;20.3;5.7;4.5;16.6;50.0
Spektrum 1 {150};-36.171;-9.466;3.0;21.9;5.2;3.9;15.9;50.0
Spektrum 1 {151};-31.671;-9.466;3.4;22.8;4.5;4.5;14.8;50.0
Spektrum 1 {152};-27.171;-9.466;3.4;24.3;4.5;3.8;14.0;50.0
Spektrum 1 {153};-22.669;-9.466;3.2;25.6;4.0;3.9;13.2;50.0
Spektrum 1 {154};-18.17;-9.466;3.6;27.2;3.6;3.8;11.9;50.0
Spektrum 1 {155};-13.669;-9.466;3.8;28.8;3.1;3.7;10.6;50.0
Spektrum 1 {156};-9.169;-9.466;3.6;30.4;2.7;3.3;9.9;50.0
Spektrum 1 {157};-4.668;-9.466;3.9;31.2;2.6;3.1;9.2;50.0
Spektrum 1 {158};-0.17;-9.466;3.9;32.7;2.1;2.7;8.6;50.0
Spektrum 1 {159};4.318;-9.466;4.1;33.9;1.9;2.8;7.3;50.0
Spektrum 1 {160};8.819;-9.466;3.6;35.3;1.6;2.7;6.8;50.0
Spektrum 1 {161};13.32;-9.466;4.1;36.0;1.5;2.3;6.2;50.0
Spektrum 1 {162};17.821;-9.466;4.1;37.0;1.3;2.3;5.3;50.0
Spektrum 1 {163};22.32;-9.466;4.1;37.9;1.0;2.1;4.8;50.0
Spektrum 1 {164};26.82;-9.466;4.0;39.1;0.7;1.9;4.2;50.0
Spektrum 1 {165};31.318;-9.466;4.0;40.0;0.8;1.6;3.7;50.0
Spektrum 1 {166};35.821;-9.466;4.0;40.4;0.8;1.5;3.2;50.0
Spektrum 1 {167};40.319;-9.466;3.9;41.3;0.6;1.4;2.8;50.0
Spektrum 1 {168};44.82;-9.466;4.1;41.8;0.3;1.4;2.4;50.0
Spektrum 1 {169};-45.167;-4.966;3.2;19.0;6.6;5.1;16.1;50.0
Spektrum 1 {170};-40.67;-4.966;3.5;20.3;5.5;5.1;15.6;50.0
Spektrum 1 {171};-36.17;-4.966;3.5;21.6;5.2;4.9;14.9;50.0
Spektrum 1 {172};-31.67;-4.966;3.6;22.9;4.7;4.6;14.3;50.0
Spektrum 1 {173};-27.171;-4.966;3.7;24.0;4.5;4.5;13.3;50.0
Spektrum 1 {174};-22.67;-4.966;3.6;25.5;4.3;4.6;12.0;50.0
Spektrum 1 {175};-18.17;-4.966;4.4;26.9;3.4;4.0;11.3;50.0
Spektrum 1 {176};-13.669;-4.966;3.9;28.2;3.1;4.2;10.7;50.0
Spektrum 1 {177};-9.171;-4.966;4.0;29.7;2.8;3.9;9.7;50.0
Spektrum 1 {178};-4.671;-4.966;3.9;31.1;2.8;3.2;9.0;50.0
Spektrum 1 {179};-0.169;-4.966;4.2;32.3;2.4;3.5;7.6;50.0
Spektrum 1 {180};4.32;-4.966;4.3;33.8;1.8;3.0;7.1;50.0
Spektrum 1 {181};8.82;-4.966;4.4;34.5;1.8;2.9;6.3;50.0
Spektrum 1 {182};13.319;-4.966;4.4;35.4;1.6;2.8;5.7;50.0
Spektrum 1 {183};17.819;-4.966;4.3;36.9;1.1;2.6;5.1;50.0
Spektrum 1 {184};22.32;-4.966;4.4;37.8;1.2;2.1;4.6;50.0
Spektrum 1 {185};26.819;-4.966;4.4;38.6;0.9;2.3;3.9;50.0
Spektrum 1 {186};31.319;-4.966;4.5;39.0;1.1;2.1;3.3;50.0
Spektrum 1 {187};35.819;-4.966;4.3;40.0;0.8;1.8;3.1;50.0
Spektrum 1 {188};40.318;-4.966;4.4;40.4;0.9;1.4;2.9;50.0
Spektrum 1 {189};44.819;-4.966;4.4;40.8;1.0;1.4;2.4;50.0
Spektrum 1 {190};-45.168;-0.468;3.3;18.4;6.5;5.9;15.9;50.0
Spektrum 1 {191};-40.672;-0.468;3.7;20.0;6.1;5.7;14.5;50.0
Spektrum 1 {192};-36.17;-0.468;3.7;21.0;6.0;5.5;13.8;50.0
Spektrum 1 {193};-31.67;-0.468;4.2;22.0;5.2;5.2;13.3;50.0
Spektrum 1 {194};-27.169;-0.468;3.9;23.8;4.8;5.2;12.4;50.0
Spektrum 1 {195};-22.669;-0.468;4.3;25.4;4.0;5.1;11.3;50.0
Spektrum 1 {196};-18.169;-0.468;4.4;26.2;3.7;4.9;10.8;50.0
Spektrum 1 {197};-13.669;-0.468;4.3;28.5;3.3;4.5;9.4;50.0
Spektrum 1 {198};-9.17;-0.468;4.4;29.4;3.0;4.3;8.8;50.0
Spektrum 1 {199};-4.67;-0.468;4.6;30.4;2.5;3.8;8.6;50.0
